Submitted on:,Department,Course,Group,Gender,Q01_Class Demographics,Absenteeism,Q02_General Questions->A - 1. I am enjoying the subject,Q02_General Questions->A - 2. Classes start and end on time,"Q02_General Questions->A - 3. The learning environment is participative, involves learning by doing and is group-based",Q02_General Questions->A - 4. The subject content is delivered according to the course outline and meets my expectations,Q02_General Questions->A - 5. The topics are clear and logically developed,Q02_General Questions->A - 6. I am developing my oral and writing skills,Q02_General Questions->A - 7. I am developing my reflective and critical reasoning skills,Q02_General Questions->A - 8. The assessment methods are assisting me to learn,Q02_General Questions->A - 9. I receive relevant feedback,Q02_General Questions->A - 10. I read the recommended readings and notes,Q02_General Questions->A - 11. I use the eLearning material posted,Q03_Level of Learning Achieved->B - 1. Concept 1 of 4 - Ensemble Methods for Predictive Analytics,Q03_Level of Learning Achieved->B - 2. Concept 2 of 4 - Predictive Modelling Using R,Q04_Quality of Teaching Strategies->C - 1. Labs with comments that describe each step to be followed,Q04_Quality of Teaching Strategies->C - 2. Labs that require you to put in effort to make a submission related to the content of the lab,Q04_Quality of Teaching Strategies->C - 3. Labs that require you to use Git to work in a team,Q04_Quality of Teaching Strategies->C - 4. Labs that require you to work alone,"Q04_Quality of Teaching Strategies->C - 5. The quality of the lectures given (quality measured by the breadth (the full span of knowledge of a subject) and depth (the extent to which specific topics are focused upon, amplified, and explored) of learning - NOT quality measured by how fun/comical/lively the lectures are)",Q04_Quality of Teaching Strategies->C - 6. The recordings of online classes,Q04_Quality of Teaching Strategies->C - 7. Online classes in general,Q04_Quality of Teaching Strategies->C - 8. Face-to-Face classes in general,Q05_Likes->D - 1. Write two things you like about the teaching and learning in this unit so far.,Q05_Wishes->D - 2. Write at least one recommendation to improve the teaching and learning in this unit (for the remaining weeks in the semester)
27/09/2023 15:00,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Female,2 : Group A - Exempt,23.08,4,5,5,5,5,4,4,4,5,5,5,5,4,5,5,5,5,4,5,5,4,its straight forward and simple to understand ,so far so good
27/09/2023 10:13,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Female,3 : Group B - Regular,0,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,3,5,5,4,4,I like the practicality of R and learning github in depth through the group work,Adequate time for completing the labs
27/09/2023 12:16,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,5 : Group C - Regular,8.33,3,4,4,4,4,3,4,4,4,5,5,3,3,4,4,4,3,4,4,4,4,Group workPractical Exercises,"More group work, less individual work"
28/09/2023 20:15,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,33.33,3,5,5,4,5,4,4,4,5,4,4,5,2,5,4,4,3,5,5,4,5,The learning of this unit is good in terms of the detailed and step by step practicals shown by the lecturer for each lab.The recordings., No recommendations there is good delivery.
01/10/2023 23:59,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,0,4,5,5,4,4,3,4,4,4,4,4,5,2,5,4,4,2,4,3,3,4,The teaching is very thorough and labs have well explained instructions.,Generally just slow down the amount of work we have to submit considering the IS project we need to work on
27/09/2023 12:18,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,0,4,5,5,5,4,2,4,4,5,3,5,5,3,5,5,5,5,4,5,4,4,I like that it challenges me to apply everything practically.,One recommendation may be to explain how these concepts can relate to and apply to our IS Project 2.
27/09/2023 10:13,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,16.67,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,None,None
27/09/2023 10:16,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,0,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,The practical aspect.  The group work is good.,It is okay.
26/09/2023 12:06,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Female,1 : Group A - Regular,30.77,4,4,5,4,3,3,4,5,5,5,5,4,2,5,4,4,3,4,5,5,5,"Labs activities, Quizzes help a lot on learning during the semester",- Slide are very long (too much content) lecture can improve on that-
27/09/2023 12:15,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,6 : Group C - Exempt,0,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,clear and direct to the point   step by step teaching works for me,nothing really
27/09/2023 12:14,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,5 : Group C - Regular,8.33,4,5,4,4,4,4,4,4,5,4,4,5,4,4,4,5,5,5,4,4,4,The lecturer explains everything in detail and caters for both ides that is vscode and rstudio,There are many labs
27/09/2023 12:13,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,0,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,N/A,N/A
03/10/2023 00:58,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-B,Male,3 : Group B - Regular,33.33,4,4,4,5,4,4,4,4,5,4,4,4,4,5,5,5,5,5,4,4,4,Systematic  Modular,Further work on ease of following the lab work
27/09/2023 12:13,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,5 : Group C - Regular,0,4,5,5,5,5,3,5,5,5,3,5,5,4,5,5,5,5,5,3,4,5,N/A ,N/A
27/09/2023 12:18,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,16.67,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,2,5,5,5,5,How to use and implement R as a language for data analysis,"No comment, everything is fine"
26/09/2023 12:12,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-A,Male,1 : Group A - Regular,30.77,4,5,5,5,5,4,4,5,5,4,5,3,4,5,5,4,5,4,5,4,5,"I am learning to use new language, R language, and how to use it together with the available libraries for predictive analytics.   ",None
27/09/2023 12:15,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,5 : Group C - Regular,16.67,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,5,4,4,5,5,5,Its practical ,nothing all is well
02/10/2023 00:21,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,8.33,3,3,4,4,3,3,4,4,3,4,4,4,3,3,4,3,3,4,4,4,4,none,reduce the workloads on the labs kindly
27/09/2023 12:13,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,5 : Group C - Regular,8.33,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,It is very practical and a good example of a prospective career path for many.,n/a.
27/09/2023 12:12,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Male,5 : Group C - Regular,8.33,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,1. The lecturer makes the content easy to understand,N/A
27/09/2023 12:15,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,0,4,5,5,5,5,5,5,4,5,5,5,4,3,5,4,4,4,5,5,5,5,the teaching method  the recording being online is also helpful ,so far I have been struggling a little with the Lab a bit but i'm hoping it will get better as we continue with the other labs
27/09/2023 12:11,,BBT 4206: Business Intelligence II (2022-2023),20230821-20231128-BI2-BBIT4.2-C,Female,5 : Group C - Regular,16.67,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,The practicals,N/A
